C0018923,Hemangiosarcoma
C3150972,"NEUROPATHY, HEREDITARY SENSORY, TYPE ID"
C3150896,"NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IC"
C3279885,Hereditary Sensory and Autonomic Neuropathy Type Ie
C0020072,"Hereditary Sensory Autonomic Neuropathy, Type 2"
C0007959,Charcot-Marie-Tooth Disease
C0751036,Hereditary Motor and Sensory Neuropathy Type I
C4539991,SPERMATOGENIC FAILURE 21
C4539783,SPERMATOGENIC FAILURE 18
C4539824,SPERMATOGENIC FAILURE 20
C0403825,Globozoospermia
C4721889,SPERMATOGENIC FAILURE 3
C3151406,SPERMATOGENIC FAILURE 8
C4539818,SPERMATOGENIC FAILURE 19
C3809427,SPERMATOGENIC FAILURE 12
C4310779,SPERMATOGENIC FAILURE 15
C2751811,Spermatogenic Failure 7
C4310666,SPERMATOGENIC FAILURE 17
C0232981,Arrest of spermatogenesis
C4540179,SPERMATOGENIC FAILURE 22
C3553793,SPERMATOGENIC FAILURE 10
C4014454,SPERMATOGENIC FAILURE 14
C3554453,SPERMATOGENIC FAILURE 11
C4540185,SPERMATOGENIC FAILURE 23
C4014449,SPERMATOGENIC FAILURE 13
C0403812,"Male Infertility with Large-Headed, Multiflagellar, Polyploid Spermatozoa"
C4310674,SPERMATOGENIC FAILURE 16
C1839841,"SPERMATOGENIC FAILURE, X-LINKED, 2"
C4551960,"Sertoli cell-only syndrome, type 1"
C0028960,Oligospermia
C1839071,"Spermatogenic Failure, Nonobstructive, Y-Linked"
C0403810,Oligosynaptic Infertility
C1856245,"Granulomatous Disease, Chronic, Autosomal Recessive, Cytochrome B-Positive, Type II"
C1856251,"Granulomatous Disease, Chronic, Autosomal Recessive, Cytochrome B-Positive, Type I"
C1856255,"Granulomatous Disease, Chronic, Autosomal Recessive, Cytochrome B-Negative"
C3151409,"GRANULOMATOUS DISEASE, CHRONIC, AUTOSOMAL RECESSIVE, CYTOCHROME b-POSITIVE, TYPE III"
C1844376,"Granulomatous Disease, Chronic, X-Linked"
C4552004,Distal Myopathy 1
C1850808,Miyoshi myopathy
C4551973,Miyoshi Muscular Dystrophy 1
C2750076,Miyoshi Muscular Dystrophy 3
C3808940,"LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 5"
C3151268,"LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 4"
C4014869,"LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 6"
C4747646,LYMPHATIC MALFORMATION 3
C4747769,LYMPHATIC MALFORMATION 4
C1704424,Hereditary lymphedema type II
C0238261,Lymphedema praecox
C0025183,Meige Syndrome
C1864902,"Hyperinsulinemic hypoglycemia, familial, 7"
C1291230,3-Hydroxyacyl-CoA Dehydrogenase Deficiency
C1864948,"Hyperinsulinemic Hypoglycemia, Familial, 4"
C1865290,"Hyperinsulinemic hypoglycemia, familial, 3"
C1847555,"Hyperinsulinemic hypoglycemia, familial, 6"
C3888018,Congenital Hyperinsulinism
C2931833,"Hyperinsulinemic hypoglycemia, familial, 2"
C0027773,Nesidioblastosis
C2931832,"Hyperinsulinemic hypoglycemia, familial, 1"
C1864952,"Hyperinsulinemic Hypoglycemia, Familial, 5"
C0268312,Progressive intrahepatic cholestasis (disorder)
C3489789,"Cholestasis, Progressive Familial Intrahepatic, 2"
C1865643,"Cholestasis, progressive familial intrahepatic 3"
C2931067,"Cholestasis, progressive familial intrahepatic 4"
C4310747,"CHOLESTASIS, PROGRESSIVE FAMILIAL INTRAHEPATIC, 5"
C4551898,"Cholestasis, progressive familial intrahepatic 1"
C0268318,Cholestasis of pregnancy
C3549845,"CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY, 1"
C3554241,"CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY 3"
C0149841,Benign recurrent intrahepatic cholestasis
C4551899,"Cholestasis, benign recurrent intrahepatic 1"
C2608083,"Cholestasis, benign recurrent intrahepatic 2"
C3553762,LOEYS-DIETZ SYNDROME 4
C2674574,"Aortic aneurysm, familial thoracic 3"
C4551955,"Loeys-Dietz Syndrome, Type 1a"
C3810012,RIENHOFF SYNDROME
C3151087,LOEYS-DIETZ SYNDROME 3
C3551954,"COENZYME Q10 DEFICIENCY, PRIMARY, 1"
C3553354,"COENZYME Q10 DEFICIENCY, PRIMARY, 2"
C3553358,"COENZYME Q10 DEFICIENCY, PRIMARY, 3"
C2677589,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 9"
C3553374,"COENZYME Q10 DEFICIENCY, PRIMARY, 5"
C3553349,"COENZYME Q10 DEFICIENCY, PRIMARY, 6"
C4225392,"COENZYME Q10 DEFICIENCY, PRIMARY, 7"
C4225226,"COENZYME Q10 DEFICIENCY, PRIMARY, 8"
C1834653,"MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 1B (disorder)"
C0410190,Autosomal Dominant Emery-Dreifuss Muscular Dystrophy (disorder)
C2750035,Emery-Dreifuss Muscular Dystrophy 3
C2751807,Emery-Dreifuss Muscular Dystrophy 4
C2751805,"EMERY-DREIFUSS MUSCULAR DYSTROPHY 5, AUTOSOMAL DOMINANT"
C2749106,"Emery-Dreifuss Muscular Dystrophy 6, X-Linked"
C2678055,"MYOPATHY, X-LINKED, WITH POSTURAL MUSCLE ATROPHY (disorder)"
C3553060,"EMERY-DREIFUSS MUSCULAR DYSTROPHY 7, AUTOSOMAL DOMINANT"
C2931008,Congenital disorder of glycosylation type 2A
C1853736,"Congenital Disorder Of Glycosylation, Type IIB"
C0398739,"Congenital disorder of glycosylation, type 2C"
C2931009,Congenital disorder of glycosylation type 2D
C2931010,Congenital disorder of glycosylation type 2E
C1970344,"Congenital Disorder Of Glycosylation, Type IIF"
C2931011,"Congenital disorder of glycosylation, type 2G"
C1970021,"Congenital Disorder Of Glycosylation, Type IIH"
C3150876,COG5 congenital disorder of glycosylation
C3150736,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIj"
C3553571,Carbohydrate deficient glycoprotein syndrome type 2k
C3553230,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIl"
C3806688,Solute carrier family 35 member A2 congenital disorder of glycosylation
C4225234,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIn"
C4225191,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIo"
C4225190,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIp"
C4479353,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIq"
C2750471,"COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 8"
C1333991,Hereditary Non-Polyposis Colon Cancer Type 2
C2936783,"Colorectal cancer, hereditary nonpolyposis, type 1"
C1833477,"COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 5"
C1860896,"COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 6"
C1838333,"COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 4"
C1858380,"COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 7 (disorder)"
C4225310,"MICROCEPHALY 15, PRIMARY, AUTOSOMAL RECESSIVE"
C2675187,"MICROCEPHALY, PRIMARY AUTOSOMAL RECESSIVE, 7 (disorder)"
C4225338,"MICROCEPHALY 14, PRIMARY, AUTOSOMAL RECESSIVE"
C1837501,"Microcephaly, Primary Autosomal Recessive, 5"
C4540488,"MICROCEPHALY 19, PRIMARY, AUTOSOMAL RECESSIVE"
C3553414,"MICROCEPHALY 8, PRIMARY, AUTOSOMAL RECESSIVE"
C4015080,"MICROCEPHALY 13, PRIMARY, AUTOSOMAL RECESSIVE"
C4015156,"MICROCEPHALY 12, PRIMARY, AUTOSOMAL RECESSIVE"
C1855081,"MICROCEPHALY, PRIMARY AUTOSOMAL RECESSIVE, 1"
C1858108,"Microcephaly, Primary Autosomal Recessive, 3"
C3809431,"MICROCEPHALY 11, PRIMARY, AUTOSOMAL RECESSIVE"
C4310723,"MICROCEPHALY 17, PRIMARY, AUTOSOMAL RECESSIVE"
C4225249,"MICROCEPHALY 16, PRIMARY, AUTOSOMAL RECESSIVE"
C1842109,"Microcephaly, Primary Autosomal Recessive, 6"
C1858516,"MICROCEPHALY 4, PRIMARY, AUTOSOMAL RECESSIVE"
C3553886,"MICROCEPHALY 9, PRIMARY, AUTOSOMAL RECESSIVE"
C1858535,"MICROCEPHALY, PRIMARY AUTOSOMAL RECESSIVE, 2 (disorder)"
C3554499,"MICROCEPHALY 10, PRIMARY, AUTOSOMAL RECESSIVE"
C4479608,"MICROCEPHALY 18, PRIMARY, AUTOSOMAL DOMINANT"
C3711387,Autosomal Recessive Primary Microcephaly
C1838429,"Epiphyseal dysplasia, multiple, 2"
C1846843,"EPIPHYSEAL DYSPLASIA, MULTIPLE, 5"
C1847593,"EPIPHYSEAL DYSPLASIA, MULTIPLE, 4"
C2675767,"EPIPHYSEAL DYSPLASIA, MULTIPLE, 6"
C4540251,"EPIPHYSEAL DYSPLASIA, MULTIPLE, 7"
C1838280,"Epiphyseal dysplasia, multiple, 1"
C1832998,"EPIPHYSEAL DYSPLASIA, MULTIPLE, 3"
C3152083,"EPIPHYSEAL DYSPLASIA, MULTIPLE, 3, WITH MYOPATHY"
C1843042,Craniolenticulosutural Dysplasia
C0014553,Absence Epilepsy
C0005122,Beriberi
C0039841,Thiamine Deficiency
C0042850,Vitamin B Deficiency
C0149939,Obstructive nephropathy
C0344963,Right hypoplastic heart syndrome
C4014690,"EPIPHYSEAL CHONDRODYSPLASIA, MIURA TYPE"
C0279606,Childhood Hepatocellular Carcinoma
C0220621,Childhood Acute Myeloid Leukemia
C4522245,Atypical Spitz Nevus
C0279607,Adult Hepatocellular Carcinoma
C0342782,Depletion of mitochondrial DNA
C3502075,Multiple Mitochondrial Dysfunctions Syndrome
C3150172,MITOCHONDRIAL DNA DEPLETION SYNDROME 8B (MNGIE TYPE)
C2749861,MITOCHONDRIAL DNA DEPLETION SYNDROME 8A (ENCEPHALOMYOPATHIC TYPE WITH RENAL TUBULOPATHY)
C1848586,Visceral myopathy familial external ophthalmoplegia
C4693741,MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 6
C0005940,Bone Diseases
C0005974,Bone Resorption
C0265295,Jansen type metaphyseal chondrodysplasia
C0265289,Metaphyseal chondrodysplasia Schmid type
C4520892,Otospondylomegaepiphyseal dysplasia
C0700635,Strudwick syndrome
C4014261,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 16"
C2748495,Metaphyseal Anadysplasia 1
C1865832,"Spondyloepimetaphyseal Dysplasia, Missouri Type"
C0259779,Fibrous Dysplasia
C0410539,Craniodiaphyseal dysplasia
C2675746,"CRANIODIAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT (disorder)"
C3279807,CRANIOECTODERMAL DYSPLASIA 3
C3280616,CRANIOECTODERMAL DYSPLASIA 4
C2931244,"Craniometaphyseal dysplasia, autosomal recessive type"
C1852502,"CRANIOMETAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT"
C0432272,Van Buchem disease
C1843323,Van Buchem disease type 2
C0238402,Pycnodysostosis
C0410529,Hypochondroplasia (disorder)
C0001080,Achondroplasia
C4015505,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 18"
C0542428,Hypochondrogenesis
C0265279,Kniest dysplasia
C1848488,Pierre Robin syndrome with fetal chondrodysplasia
C2020284,"Stickler syndrome, type 1"
C1858084,"STICKLER SYNDROME, TYPE II (disorder)"
C0410538,Pseudoachondroplasia
C2930970,Acromesomelic dysplasia Hunter-Thompson type
C1864356,"ACROMESOMELIC DYSPLASIA, MAROTEAUX TYPE"
C0265260,"Chondrodysplasia, Grebe type"
C3494506,"Pseudohypoparathyroidism, Type Ia"
C2931404,Albright's hereditary osteodystrophy
C0265273,Achondrogenesis type 1A
C0265274,"Achondrogenesis, type IB (disorder)"
C0220685,Achondrogenesis type 2
C3810326,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 15"
C3809327,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 14"
C1836474,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 7"
C3280452,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 12"
C1859298,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 2"
C3553816,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 13"
C3280226,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 11"
C4015301,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 17"
C4225383,LICHTENSTEIN-KNORR SYNDROME
C4225355,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 20"
C0751602,Hereditary Autosomal Dominant Spastic Paraplegia
C4721916,HMSN Type V
C0393807,Hereditary motor and sensory neuropathy with optic atrophy (disorder)
C4225302,"NEUROPATHY, HEREDITARY MOTOR AND SENSORY, TYPE VIB"
C0020725,Type II Mucolipidosis
C2673377,MUCOLIPIDOSIS II ALPHA/BETA (disorder)
C2673375,"Mucolipidosis III Alpha Beta, Atypical"
C0033788,Pseudo-Hurler Polydystrophy
C1854896,Mucolipidosis III Gamma
C1855733,Neuronal intestinal pseudoobstruction
C1832589,"Neuronal Intestinal Dysplasia, Type B"
C0080174,Spina Bifida Occulta
C1866558,"Neural tube defect, folate-sensitive"
C1845026,Neural tube defects X-linked
C1866559,"Spina Bifida, Folate-Sensitive"
C1845027,"Spina Bifida, X-Linked"
C4015019,NEU-LAXOVA SYNDROME 2
C0265218,Neu-Laxova syndrome
C4551478,NEU-LAXOVA SYNDROME 1
C2676786,"Nephrolithiasis-Osteoporosis, Hypophosphatemic, 1"
C2676782,"Nephrolithiasis-Osteoporosis, Hypophosphatemic, 2"
C0544855,"NAIL DISORDER, NONSYNDROMIC CONGENITAL, 3"
C0265998,ANONYCHIA
C3277900,"NAIL DISORDER, NONSYNDROMIC CONGENITAL, 4"
C1843761,"TOENAIL DYSTROPHY, ISOLATED"
C3279947,"NAIL DISORDER, NONSYNDROMIC CONGENITAL, 9"
C3279974,"NAIL DISORDER, NONSYNDROMIC CONGENITAL, 10"
C4014557,"MYOPATHY, TUBULAR AGGREGATE, 2"
C4011726,"MYOPATHY, TUBULAR AGGREGATE, 1"
C0410207,Tubular Aggregate Myopathy
C4225159,"REDUCING BODY MYOPATHY, X-LINKED 1B, WITH LATE CHILDHOOD OR ADULT ONSET"
C4225423,"REDUCING BODY MYOPATHY, X-LINKED 1A, SEVERE, WITH INFANTILE OR EARLY CHILDHOOD ONSET"
C1866785,Spheroid body myopathy
C1832370,"MYOPATHY, MYOFIBRILLAR, DESMIN-RELATED"
C1837317,Alpha-B Crystallinopathy
C3714934,"MYOPATHY, MYOFIBRILLAR, 3"
C4721886,"MYOPATHY, MYOFIBRILLAR, 4"
C1836050,"Filaminopathy, autosomal dominant"
C2751831,"Myopathy, Myofibrillar, Bag3-Related"
C4310711,"MYOPATHY, MYOFIBRILLAR, 7"
C0027127,Myotonia Congenita
C2675527,"Myopathy, Congenital, Compton-North"
C3278481,"MICROCEPHALY AND CHORIORETINOPATHY, AUTOSOMAL RECESSIVE, 1"
C4015388,"MICROCEPHALY AND CHORIORETINOPATHY, AUTOSOMAL RECESSIVE, 2"
C4225362,"MICROCEPHALY AND CHORIORETINOPATHY, AUTOSOMAL RECESSIVE, 3"
C0027080,Myoglobinuria
C1838877,"Myoglobinuria, Recurrent"
C1849386,"Myoglobinuria, Acute Recurrent, Autosomal Recessive"
C0432284,Infantile myofibromatosis
C3809084,"MYOFIBROMATOSIS, INFANTILE, 2"
C4551572,"MYOFIBROMATOSIS, INFANTILE, 1"
C1854678,"MULTIPLE PTERYGIUM SYNDROME, LETHAL TYPE"
C1867440,"Multiple Pterygium Syndrome, Autosomal Dominant"
C3541471,"MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 1"
C3554606,"MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 3"
C3554607,"MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 4"
C3554608,"MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 5"
C3809553,"MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 6"
C4014408,"MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 7"
C4014440,"MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 8"
C4015253,"MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 9"
C4551995,Mitochondrial DNA Depletion Syndrome 1
C0872218,MITOCHONDRIAL NEUROGASTROINTESTINAL ENCEPHALOPATHY SYNDROME
C3501891,"Mitochondrial DNA Depletion Syndrome, Myopathic Form"
C3149750,MITOCHONDRIAL DNA DEPLETION SYNDROME 2 (MYOPATHIC TYPE)
C3151513,MITOCHONDRIAL DNA DEPLETION SYNDROME 3 (HEPATOCEREBRAL TYPE)
C3711385,Deoxyguanosine Kinase Deficiency
C3150914,MITOCHONDRIAL DNA DEPLETION SYNDROME 4B (MNGIE TYPE)
C3501372,"Mitochondrial Dna Depletion Syndrome, Encephalomyopathic Form, With Methylmalonic Aciduria, Autosomal Recessive"
C3711369,Succinate-Coa Ligase Deficiency
C2749864,MITOCHONDRIAL DNA DEPLETION SYNDROME 5 (ENCEPHALOMYOPATHIC WITH OR WITHOUT METHYLMALONIC ACIDURIA)
C1850406,NAVAJO NEUROHEPATOPATHY
C1850407,Navajo Familial Neurogenic Arthropathy
C1849096,Infantile onset spinocerebellar ataxia
C3151476,MITOCHONDRIAL DNA DEPLETION SYNDROME 9 (ENCEPHALOMYOPATHIC TYPE WITH METHYLMALONIC ACIDURIA)
C3554462,MITOCHONDRIAL DNA DEPLETION SYNDROME 11
C4310676,"MITOCHONDRIAL DNA DEPLETION SYNDROME 12A (CARDIOMYOPATHIC TYPE), AUTOSOMAL DOMINANT"
C4321247,Mitochondrial DNA Depletion Syndrome 12
C3809592,FBXL4-related encephalomyopathic mitochondrial DNA depletion syndrome
C1859317,Cataract and cardiomyopathy
C3276432,MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 1
C3280378,MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 2 WITH HYPERGLYCINEMIA
C3809165,MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 3
C4225348,MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 4
C1970712,"Multiple Endocrine Neoplasia, Type IV"
C3279775,MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-SEIZURES SYNDROME 1
C3275508,MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-SEIZURES SYNDROME 2
C3809356,MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-SEIZURES SYNDROME 3
C1850343,Mosaic variegated aneuploidy syndrome 1
C3279843,MOSAIC VARIEGATED ANEUPLOIDY SYNDROME 2
C2750404,"Fibrosis of Extraocular Muscles, Congenital, 3C"
C2748801,"FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 3A, WITH OR WITHOUT EXTRAOCULAR INVOLVEMENT"
C1851102,"Fibrosis Of Extraocular Muscles, Congenital, 1"
C1836217,Tukel syndrome
C2751105,"FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 3B (disorder)"
C1865915,"FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 2"
C4015552,"FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 5"
C0023452,Childhood Acute Lymphoblastic Leukemia
C0279583,Childhood T Acute Lymphoblastic Leukemia
C0279584,Childhood B Acute Lymphoblastic Leukemia
C1961102,Precursor Cell Lymphoblastic Leukemia Lymphoma
C1332998,Childhood T Lymphoblastic Lymphoma
C0280634,Adult Acute Monocytic Leukemia
C0271583,"ACTH Deficiency, Isolated"
C0342388,Adrenocorticotropic hormone (ACTH) deficiency (disorder)
C0220710,Medium-chain acyl-coenzyme A dehydrogenase deficiency
C0342783,Deficiency of butyryl-CoA dehydrogenase
C0342482,X-linked Adrenal Hypoplasia
C0019357,"Keratitis, Herpetic"
C0085436,"Meningitis, Cryptococcal"
C0206178,Cytomegalovirus Retinitis
C0006846,Cutaneous Candidiasis
C0024143,Lupus Nephritis
C4310614,OTULIN-related autoinflammatory syndrome
C2827356,"Myeloid/Lymphoid Neoplasms with Eosinophilia and Rearrangement of PDGFRA, PDGFRB, or FGFR1, or with PCM1-JAK2"
C2827362,Myeloid/Lymphoid Neoplasms with FGFR1 Rearrangement
C0243002,Tricuspid Atresia
C1864861,"Tumoral Calcinosis, Normophosphatemic, Familial"
C1861028,Esophageal atresia with or without tracheoesophageal fistula
C0342801,Thiopurine S methyltranferase deficiency
C1838703,Bladder Exstrophy and Epispadias Complex
C0005689,Bladder Exstrophy
C0025294,Meningococcal meningitis
C0019156,Hepatic Veno-Occlusive Disease
C0333355,Inflammatory disease of mucous membrane
C2675204,"Polyneuropathy, Hearing Loss, Ataxia, Retinitis Pigmentosa, And Cataract"
C0023481,Chronic Neutrophilic Leukemia
C0206732,Epithelioid hemangioendothelioma
C1850746,"Myopathy, congenital nonprogressive with Moebius and Robin sequences"
C0024814,Marinesco-Sjogren syndrome
C1864652,"Growth and mental retardation, mandibulofacial dysostosis, microcephaly, and cleft palate"
C4479410,"MUSCULAR DYSTROPHY, CONGENITAL, WITH CATARACTS AND INTELLECTUAL DISABILITY"
C1708371,Histiocytoid Cardiomyopathy
C0009402,Colorectal Carcinoma
C1609433,Congenital absence of kidneys syndrome
C0796012,Krause-Kivlin syndrome
C0010606,Adenoid Cystic Carcinoma
C2608080,"RENAL HYPOPLASIA, ISOLATED (disorder)"
C0266295,Congenital hypoplasia of kidney
C1968949,Cakut
C1835826,"Renal Hypodysplasia, Nonsyndromic, 1"
C1840451,"MULTICYSTIC RENAL DYSPLASIA, BILATERAL"
C0521619,Obstruction of pelviureteric junction
C4048262,Hydronephrosis Due To Pujo
C2750441,"LIVER DISEASE, ALCOHOLIC, SUSCEPTIBILITY TO, 1"
C3150651,"FATTY LIVER DISEASE, NONALCOHOLIC, SUSCEPTIBILITY TO, 2"
C2750440,"FATTY LIVER DISEASE, NONALCOHOLIC, SUSCEPTIBILITY TO, 1"
C4015172,"SIDEROBLASTIC ANEMIA WITH B-CELL IMMUNODEFICIENCY, PERIODIC FEVERS, AND DEVELOPMENTAL DELAY"
C1292754,Mediastinal (Thymic) Large B-Cell Lymphoma
C0855139,Monocytoid B-cell lymphoma
C0085548,Autosomal Recessive Polycystic Kidney Disease
C0009714,"Hepatic Fibrosis, Congenital"
C1867982,"KERATODERMA, PALMOPLANTAR, PUNCTATE TYPE II"
C1835662,Keratosis palmoplantaris papulosa
C1845102,Hyperekplexia and Epilepsy
C0266174,Duodenal atresia
C0043208,Wolman Disease
C1868193,"PNEUMOTHORAX, PRIMARY SPONTANEOUS"
C2750824,Dystransthyretinemic Euthyroidal Hyperthyroxinemia
C1852197,MAJOR AFFECTIVE DISORDER 1
C1839839,MAJOR AFFECTIVE DISORDER 2
C2932715,Pseudohypoparathyroidism Type 1B
C1864100,"PSEUDOHYPOPARATHYROIDISM, TYPE IB"
C0343110,Epidermolytic palmoplantar keratoderma of Vorner
C1721006,"Keratoderma, Palmoplantar, Epidermolytic"
C2931735,Epidermolytic palmoplantar keratoderma Vorner type
C1840427,"PALMOPLANTAR KERATODERMA, EPIDERMOLYTIC, WITH KNUCKLE PADS (disorder)"
C2936837,Keratosis of Greither
C0079136,Cockayne-Touraine Disease
C0432322,"Dominant dystrophic epidermolysis bullosa, albopapular type (disorder)"
C4693381,AMYOTROPHIC LATERAL SCLEROSIS 23
C4693389,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 56"
C4693371,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 55, WITH SEIZURES"
C4540481,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 53"
C4540484,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 54"
C4540478,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 52"
C4540474,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 51"
C4540470,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 50"
C4540324,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 49"
C4540321,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 48"
C4539848,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 45"
C4539851,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 46"
C4539951,"MENTAL RETARDATION, AUTOSOMAL DOMINANT 47"
C4540424,"MENTAL RETARDATION, AUTOSOMAL RECESSIVE 61"
C4478379,"MENTAL RETARDATION, X-LINKED 106"
C4478383,"MENTAL RETARDATION, X-LINKED, SYNDROMIC, 35"
C4538788,"MENTAL RETARDATION, X-LINKED, SYNDROMIC, HOUGE TYPE"
C4539891,"AMELOGENESIS IMPERFECTA, TYPE IIIB"
C4538784,"GALLOWAY-MOWAT SYNDROME 2, X-LINKED"
C4540266,GALLOWAY-MOWAT SYNDROME 3
C4540270,GALLOWAY-MOWAT SYNDROME 4
C4540274,GALLOWAY-MOWAT SYNDROME 5
C4479618,ERYTHROKERATODERMIA VARIABILIS ET PROGRESSIVA 2
C4479619,ERYTHROKERATODERMIA VARIABILIS ET PROGRESSIVA 3
C4479620,ERYTHROKERATODERMIA VARIABILIS ET PROGRESSIVA 4
C4479653,"SPASTIC ATAXIA 8, AUTOSOMAL RECESSIVE, WITH HYPOMYELINATING LEUKODYSTROPHY"
C4539714,MECKEL SYNDROME 13
C4539715,JOUBERT SYNDROME 29
C4539729,OROFACIODIGITAL SYNDROME XVI
C4479655,MEIER-GORLIN SYNDROME 8
C4479656,PERRAULT SYNDROME 6
C4539772,"ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 13"
C4539754,"ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 14"
C4539808,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 25"
C4539948,"SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 26"
C4539954,"DEAFNESS, AUTOSOMAL RECESSIVE 106"
C4539964,"DEAFNESS, AUTOSOMAL RECESSIVE 107"
C4539997,"DEAFNESS, AUTOSOMAL RECESSIVE 108"
C4539767,EXUDATIVE VITREORETINOPATHY 7
C4540559,"NEPHROTIC SYNDROME, TYPE 14"
C4539798,"CILIARY DYSKINESIA, PRIMARY, 37"
C4539881,"DEAFNESS, AUTOSOMAL DOMINANT 71"
C4539886,"DEAFNESS, AUTOSOMAL DOMINANT 72"
C4521680,"DEAFNESS, AUTOSOMAL DOMINANT 34, WITH OR WITHOUT INFLAMMATION"
C4539896,"NEPHROTIC SYNDROME, TYPE 15"
C4540453,"NEPHROTIC SYNDROME, TYPE 16"
C4539903,POLYCYSTIC KIDNEY DISEASE 5
C4539919,MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 5
C4539937,JOUBERT SYNDROME 30
C4540355,JOUBERT SYNDROME 31
C4540342,JOUBERT SYNDROME 32
C4540389,JOUBERT SYNDROME 33
C4539942,"FIBROMATOSIS, GINGIVAL, 5"
C4539944,SCHIZOPHRENIA 19
C4540034,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 56"
C4539843,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 55"
C4540411,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 57"
C4693367,"EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 58"
